标题,价格,面积,装修,类型,小区,小区名称,行政区,社区
12月特惠 0中介 可月付 西宸天街 地铁直达 精装公寓,1998,35平方米,精装修,公寓,海天名阁>金牛>茶店子,海天名阁,金牛,茶店子
0中介 拎包入住 可月租 龙湖自营 全套拎包入住 精装修,1899,37平方米,精装修,公寓,吉馨苑>武侯>武阳大道,吉馨苑,武侯,武阳大道
0中介 可月付 无甲醛 金楠天街 龙爪堰家电齐全 拎包入住,1820,37平方米,精装修,公寓,龙湖金楠天街>武侯>五大花园,龙湖金楠天街,武侯,五大花园
0中介 毕业季 学生优惠 短租 近大悦城武侯区 可做饭,1885,37平方米,精装修,公寓,金色花园(A区)>武侯>武阳大道,金色花园(A区),武侯,武阳大道
0中介 西部智谷大悦城 干净整洁独栋 拎包入住 家电齐全,1820,30平方米,精装修,公寓,首信首御>武侯>外双楠,首信首御,武侯,外双楠
0中介 无甲醛 可短租月付 龙湖自营 7号线龙爪堰地铁,1885,37平方米,精装修,公寓,龙湖金楠天街(商住楼)>武侯>外双楠,龙湖金楠天街(商住楼),武侯,外双楠
可月付可月租无中介 东郊记忆天街旁  理工大附近 商业街A,1916,35平方米,精装修,公寓,万科天荟>成华>杉板桥,万科天荟,成华,杉板桥
武青南路地铁口特价房 西部智谷 直租无额外费用 免费健身,1534,35平方米,精装修,公寓,西部智谷>武侯>武侯周边,西部智谷,武侯,武侯周边
0中介学生减500！sm广场可月租可月付 近东郊记忆理工大C,1930,35平方米,精装修,公寓,麦理基银座>成华>SM广场,麦理基银座,成华,SM广场
毛戈平学校特惠 无中介 地铁口 免费空调 永辉超市 1月起租,1880,30平方米,精装修,公寓,白果林银杏广场>金牛>白果林,白果林银杏广场,金牛,白果林
免中介可月付！冠寓住梦计划！ 优博国际 地铁3号线 可养宠物,1599,38平方米,精装修,公寓,优博国际>武侯>内双楠,优博国际,武侯,内双楠
建设路0中介可月租精装近电子科大B 学生立减500,1820,35平方米,精装修,公寓,宏明锦苑>成华>建设路,宏明锦苑,成华,建设路
免费健身 押一付一 近地铁 毕业特惠房源 无中介 保利花园,1588,33平方米,精装修,公寓,保利花园三期>武侯>新双楠,保利花园三期,武侯,新双楠
临近医院 双地铁 整租独卫精装修 拎包入住 可短租月付,1563,35平方米,精装修,公寓,优博国际>武侯>内双楠,优博国际,武侯,内双楠
簇桥商圈，住梦计划！押一付一，免中介，可短租,1599,36平方米,精装修,公寓,中铁西派城B区>武侯>簇桥,中铁西派城B区,武侯,簇桥
中介可月付近sm广场滨江天街东郊记忆C 拎包入住，近商场,1820,35平方米,精装修,公寓,龙湖三千城(A区)>成华>SM广场,龙湖三千城(A区),成华,SM广场
龙湖自营 0中介 可月租月付 精装修家电齐全 拎包入住,1899,37平方米,精装修,公寓,晋阳新居>武侯>外双楠,晋阳新居,武侯,外双楠
0中介 无甲醛 可短租月付 龙湖自营 7号线龙爪堰地铁,1820,37平方米,精装修,公寓,交大花园广厦小区>武侯>五大花园,交大花园广厦小区,武侯,五大花园
提前预定享优惠 无中介 真实整租套一 西部智谷 优博中心 抢,1599,39平方米,精装修,公寓,西部智谷>武侯>武侯周边,西部智谷,武侯,武侯周边
0中介 全套拎包入住 可月租 金楠天街大悦城鹭岛 品质公寓,1885,37平方米,精装修,公寓,金阳不夜LOFT>武侯>机投镇,金阳不夜LOFT,武侯,机投镇
0中介 可短租月付近地铁 落地窗阳光房  配套齐全 拎包入住,1537,30平方米,精装修,公寓,万科金色领域(商住楼)>青羊>万家湾,万科金色领域(商住楼),青羊,万家湾
0中芥 青羊区 中坝站 俊发时光俊园 鹏瑞利广场 可押一付一,1999,50平方米,精装修,公寓,俊发时光俊园>青羊>万家湾,俊发时光俊园,青羊,万家湾
优博国际 可短租  毕业生优惠 吾悦广场 可月付 无中介,1549,38平方米,精装修,公寓,世豪嘉柏>武侯>新双楠,世豪嘉柏,武侯,新双楠
东郊记忆0中介可月付 近理工大sm广场中迪创世纪建设路 A,1960,35平方米,精装修,公寓,东城映象B区>成华>杉板桥,东城映象B区,成华,杉板桥
天府广场 宽窄巷子 春熙路 人民公园 毕加索小区 精装大标间,1950,35平方米,精装修,普通住宅,毕加索小区>青羊>天府广场,毕加索小区,青羊,天府广场
抢！整租套一 地铁口 无中介 精装修拎包入住,1598,38平方米,精装修,公寓,楠汇坊>武侯>新双楠,楠汇坊,武侯,新双楠
元旦限时特惠 入住立返0中介 沙河旁近商场地铁拎包入住I,1867,34平方米,精装修,公寓,成华奥园广场(商住楼)>成华>崔家店,成华奥园广场(商住楼),成华,崔家店
拒绝合租 可短租 押一付一 中坝地铁口旁 交通便利 配套齐全,1537,27平方米,精装修,公寓,光华欣苑>青羊>万家湾,光华欣苑,青羊,万家湾
可短租 可月付 无中介 万年场地铁站 明信鹭湾精装套一标间,1860,45平方米,精装修,普通住宅,明信鹭湾>成华>万年场,明信鹭湾,成华,万年场
一口价 包物业 西派城 武青南路地铁口 优博国际,1499,39平方米,精装修,公寓,中铁西派城B区>武侯>簇桥,中铁西派城B区,武侯,簇桥
月付 无中介 交通便利 配套齐全 拎包入住 4号线中坝地铁,1529,30平方米,精装修,公寓,幸福里>青羊>外光华,幸福里,青羊,外光华
龙湖天宸原著 独门独户 智能门锁 电梯房 精装 地铁口,1534,33平方米,精装修,公寓,龙湖天宸原著>武侯>簇桥,龙湖天宸原著,武侯,簇桥
七里晓月 簇桥 3号线地铁 0中介 押一付一 品牌直租 量少,1498,38平方米,精装修,公寓,七里晓月>武侯>簇桥,七里晓月,武侯,簇桥
应届毕业生 龙湖冠寓住梦计划新签享好礼 随时看房 当天可入住,1599,38平方米,精装修,公寓,世豪嘉柏>武侯>新双楠,世豪嘉柏,武侯,新双楠
簇桥 武青南路 整租 无中介 拎包住 一月起租 精装套一,1563,33平方米,精装修,公寓,永仁苑>武侯>簇桥,永仁苑,武侯,簇桥
簇桥 绿地圣路易名邸 免中介整租 近地铁 押一付一,1589,37平方米,精装修,公寓,绿地圣路易名邸(一期)>武侯>簇桥,绿地圣路易名邸(一期),武侯,簇桥
开业特惠 精装套一 特价房 全套家电 拎包入住,1563,30平方米,精装修,公寓,武科西一路3号办公楼>武侯>武侯周边,武科西一路3号办公楼,武侯,武侯周边
龙湖品牌簇桥 保利花园 免中介 押一付一 学生优惠 抢手,1598,38平方米,精装修,公寓,龙湖天宸原著>武侯>簇桥,龙湖天宸原著,武侯,簇桥
龙湖冠寓品牌直租 无中介 学生活动价 可短租 可月付,1574,33平方米,精装修,公寓,世纪百合尚寓>武侯>簇桥,世纪百合尚寓,武侯,簇桥
优博国际西部智谷地铁口 精装特价房 无中介独卫整租拎包入驻,1564,30平方米,精装修,公寓,优博国际>武侯>内双楠,优博国际,武侯,内双楠
地铁口精装整租特价房 无中介不合租 盒马星巴克配套 可短租,1547,35平方米,精装修,公寓,楠汇坊>武侯>新双楠,楠汇坊,武侯,新双楠
可短租月付  0中介 毕业生特惠 拎包入住 近中坝可短租,1529,30平方米,精装修,公寓,蓝光SOFA社区>青羊>万家湾,蓝光SOFA社区,青羊,万家湾
七里小区一期  独门独卫 电梯房 无中介 精装套一 地铁口,1547,30平方米,精装修,公寓,七里小区(一期)>武侯>簇桥,七里小区(一期),武侯,簇桥
毕业生优惠！0中介 电子科大sm广场东郊记忆 拎包住B,1913,35平方米,精装修,公寓,龙湖三千城(B区)>成华>建设路,龙湖三千城(B区),成华,建设路
量少！临地铁 品牌公寓免中介 可短租押一付一 超大落地窗,1578,33平方米,精装修,公寓,布鲁汀>武侯>新双楠,布鲁汀,武侯,新双楠
水电气三通 昭觉寺地铁口 三号线 东立国际广场 无中介可月付,1930,48平方米,精装修,普通住宅,融锦城>成华>驷马桥,融锦城,成华,驷马桥
精装套一 无中介 可月付 家电齐全 梦魔方广场 火车东站,1960,56平方米,精装修,普通住宅,漫岭云天>成华>火车东站,漫岭云天,成华,火车东站
0中介东郊记忆理工大sm广场精装飘窗房拎包住A,1867,35平方米,精装修,公寓,华都云景台>成华>杉板桥,华都云景台,成华,杉板桥
龙湖自营无中介可月付!学生减500！临钻石广场高地中心B,1820,35平方米,精装修,公寓,世茂玉锦湾>成华>建设路,世茂玉锦湾,成华,建设路
建设路东郊记忆sm广场三千集砖石广场万象城春熙路万科天荟实图,1960,58平方米,精装修,普通住宅,东城映象A区>成华>圣灯路,东城映象A区,成华,圣灯路
学生优惠500！可押一付一！杉板桥天街旁东郊记忆精装拎包住A,1867,35平方米,精装修,公寓,和泓东28(商住楼)>成华>杉板桥,和泓东28(商住楼),成华,杉板桥
严格检疫，定期消毒精装公寓！可短租可月付 拎包入住 楼下地铁,1880,50平方米,精装修,公寓,智慧康城>金牛>交大路,智慧康城,金牛,交大路
武青南路地铁口 盒马生鲜精装套一 可短租月付 拎包入住,1547,45平方米,精装修,公寓,新界三期>武侯>外双楠,新界三期,武侯,外双楠
无中介 全成都 可月付  整租 套一套二套三 单间 精装修,1550,45平方米,精装修,公寓,青龙广场>成华>动物园,青龙广场,成华,动物园
近地铁5号线和2号线 四川广播电视大学 精装套一 拎包入住,1677,35平方米,精装修,公寓,百寿路2号院>金牛>白果林,百寿路2号院,金牛,白果林
无中介 限时免空调电费 押一付一地铁口独栋公寓精装套一,2099,35平方米,精装修,公寓,时代天骄大厦>青羊>太升路,时代天骄大厦,青羊,太升路
紧邻富士康 免费加床 精装公寓 可短租可月付拎包入住 无中介,1200,30平方米,精装修,公寓,绿地国际花都(三期商住楼)>郫都>郫筒,绿地国际花都(三期商住楼),郫都,郫筒
采光好无中介年前钜惠免空调年轻公寓交通方便好吃街,2099,36平方米,精装修,公寓,罗马国际>青羊>文殊坊,罗马国际,青羊,文殊坊
进修特惠！无中介 品牌活动 可开票 可短租可月付 无年租套路,1699,32平方米,简单装修,公寓,成都市青羊小区>金牛>中医附院,成都市青羊小区,金牛,中医附院
八宝街 新城市广场 金色夏威夷 丽阳天下对面 鑫城立方生活,1500,41平方米,精装修,普通住宅,鑫城立方生活>青羊>长顺街,鑫城立方生活,青羊,长顺街
外双楠晋阳路金楠天街附近全装电梯套一配套齐居家自住房出租,1800,48平方米,精装修,普通住宅,清沙苑>武侯>五大花园,清沙苑,武侯,五大花园
精.品套一出租.可押一付一.家电齐全.随时看房,1400,55平方米,精装修,其他,花牌坊街161号院>金牛>花牌坊,花牌坊街161号院,金牛,花牌坊
营门口整租！0中介 可短租 年底特价 家电齐全  拎包入住,1699,34平方米,简单装修,公寓,营门口路190号院>金牛>营门口,营门口路190号院,金牛,营门口
企业客户专享促销！茶店子商圈~无中介 可月付,1617,28平方米,精装修,普通住宅,金泉阳光佳新苑>金牛>金牛周边,金泉阳光佳新苑,金牛,金牛周边
超大露台房特惠 二号线羊犀立交茶店子  可月付可短租可养宠物,1610,40平方米,精装修,普通住宅,翡翠海湾>金牛>国宾,翡翠海湾,金牛,国宾
可月付花牌坊五号线地铁新熙门荷里活跃精装层出租.,2686,86平方米,精装修,普通住宅,荷里活>金牛>花牌坊,荷里活,金牛,花牌坊
房东急租 靠5号线花牌坊地铁口 直接拎包入住,1750,36平方米,精装修,公寓,西锦国际一期>金牛>花牌坊,西锦国际一期,金牛,花牌坊
(0中介)犀浦地铁口，夜市，国腾旁，精装套一，水电气三通,1150,39平方米,精装修,公寓,龙城高新天地>郫都>犀浦,龙城高新天地,郫都,犀浦
限时特惠0中介免空调费租期灵活年轻公寓健身房台球桌,2099,36平方米,精装修,公寓,鼓楼世家>青羊>天府广场,鼓楼世家,青羊,天府广场
0中介  1月起租精装修公寓月付 拎包入住 中坝地铁,1623,28平方米,精装修,公寓,中铁西城东苑>青羊>万家湾,中铁西城东苑,青羊,万家湾
学生住梦计划特惠精装修押一付一桐梓林地铁站,2830,35平方米,精装修,公寓,航空花园>武侯>航空路,航空花园,武侯,航空路
七里小区二期 双地铁 交通方便 精装套一 温馨干净 无中介,1547,33平方米,精装修,公寓,七里小区(二期)>武侯>簇桥,七里小区(二期),武侯,簇桥
0中介 可月租 拒绝合租 中坝地铁口 24h物业 配套齐全,1623,30平方米,精装修,公寓,紫御熙庭>青羊>外光华,紫御熙庭,青羊,外光华
0中介 一月起租 青年社区 地铁口旁 智能门锁 拎包入住,1529,30平方米,精装修,普通住宅,光华逸家>青羊>万家湾,光华逸家,青羊,万家湾
二仙桥公园 八里庄菜市场 成铁局成都材料总厂住宅楼 无中介！,1900,32平方米,精装修,公寓,泰博理想城二期>成华>二仙桥,泰博理想城二期,成华,二仙桥
中筑西府兰庭 一室一厅 无中介 临地铁 一月起租 随时看房,1498,38平方米,精装修,公寓,中筑西府兰庭>武侯>外双楠,中筑西府兰庭,武侯,外双楠
无中介 可月租可月付 簇桥整租 家电齐全 门禁安保 毕业钜惠,1599,32平方米,精装修,公寓,龙湖天宸原著>武侯>簇桥,龙湖天宸原著,武侯,簇桥
中海锦城 0中介 押一付一 优博国际保利花园五期七里晓月,1499,36平方米,精装修,公寓,中海锦城(一期)>武侯>簇桥,中海锦城(一期),武侯,簇桥
万宝大厦，太升大厦，华信大厦，太升南路精装修可月付随时看房,1400,35平方米,精装修,普通住宅,万宝大厦>金牛>马鞍路,万宝大厦,金牛,马鞍路
特价房来了！无中介近地铁 抢手公寓  可押一付一拎包入住,1498,35平方米,精装修,公寓,绿地圣路易名邸(一期)>武侯>簇桥,绿地圣路易名邸(一期),武侯,簇桥
世豪嘉柏地铁口 交通方便 限量特价房 可短租可月付 精装修,1547,35平方米,精装修,公寓,世豪嘉柏(商住楼)>武侯>武侯周边,世豪嘉柏(商住楼),武侯,武侯周边
四号线中坝 直租公寓 一月起租 龙湖自持 民用水电 无甲醛,1450,25平方米,精装修,公寓,中坝小区>青羊>外光华,中坝小区,青羊,外光华
不包租不合租 无中介 精装套一 3号9号线双地铁口 拎包入住,1596,35平方米,精装修,公寓,优博国际>武侯>内双楠,优博国际,武侯,内双楠
近地铁 无中介 不合租 可月付 交通便利 配套齐全 拎包入住,1541,31平方米,精装修,公寓,交大归谷>武侯>外双楠,交大归谷,武侯,外双楠
0中介一口价 限时优惠 近地铁 整租套一 随时看房随时入住,1499,35平方米,精装修,公寓,七里晓月>武侯>簇桥,七里晓月,武侯,簇桥
优博博寓 优博中心 地铁沿线 可月租月付 品牌公寓 可短租,1590,32平方米,精装修,公寓,优博博寓>武侯>武侯周边,优博博寓,武侯,武侯周边
0中介距离地铁口100米交通方便拎包入住,900,13平方米,精装修,普通住宅,红花东路22号院>金牛>荷花池,红花东路22号院,金牛,荷花池
可月租 交通便利 配套齐全 拎包入住 4号线中坝地铁,1588,22平方米,精装修,公寓,上善清波小区(B)>青羊>外金沙,上善清波小区(B),青羊,外金沙
无中介 押一付一可短租 4号线中坝地铁口 鹏瑞利整租落地窗,1537,30平方米,精装修,普通住宅,西城尚锦>青羊>万家湾,西城尚锦,青羊,万家湾
限时优惠！拎包入住! 无中介 独门独卫 电梯房 智能门锁,1573,35平方米,精装修,公寓,优博国际>武侯>内双楠,优博国际,武侯,内双楠
近武青地铁 可月付 无中介 拎包入住 龙湖星悦荟 配套齐全,1535,31平方米,精装修,公寓,世豪嘉柏(商住楼)>武侯>武侯周边,世豪嘉柏(商住楼),武侯,武侯周边
西部智谷 精装修 套一 无中介 可月付 家电齐全 拎包入住,1598,32平方米,精装修,公寓,西部智谷>武侯>武侯周边,西部智谷,武侯,武侯周边
0中介 短租月付 地铁口旁 交通便利 智能门锁 拎包入住,1537,28平方米,精装修,公寓,佳兆业西城广场>青羊>青羊周边,佳兆业西城广场,青羊,青羊周边
0中介 可月租 可月付 玲珑郡 保利花园五期 中海锦城 套一,1599,40平方米,精装修,公寓,玲珑郡>武侯>簇桥,玲珑郡,武侯,簇桥
拎包入住，付款灵活，房东签约,1999,55平方米,精装修,公寓,华润东原时光绘>锦江>东光小区,华润东原时光绘,锦江,东光小区
中铁西派城A区  无中介 精装套一 双地铁 押一付一免费健身,1547,33平方米,精装修,公寓,中铁西派城A区>武侯>簇桥,中铁西派城A区,武侯,簇桥
开业优惠 学生特价房独卫整租精装修 超大公区免费健身,1563,35平方米,精装修,公寓,优博国际>武侯>内双楠,优博国际,武侯,内双楠
0中介距离地铁口200米交通方便拎包入住,850,13平方米,精装修,普通住宅,八里庄路77号院>成华>二仙桥,八里庄路77号院,成华,二仙桥
簇桥 武青南路地铁口  交通便利 采光好 无中介  可短租,1562,35平方米,精装修,公寓,中铁瑞城三号线>武侯>新双楠,中铁瑞城三号线,武侯,新双楠
0中介 不合租 精装修公寓月付 拎包入住 中坝地铁,1590,25平方米,精装修,公寓,光华碧邻>青羊>万家湾,光华碧邻,青羊,万家湾
0中介！金牛万达 可月付 2月起  全新精装套一 临地铁,1958,45平方米,精装修,公寓,金牛万达广场d组团>金牛>金牛万达,金牛万达广场d组团,金牛,金牛万达
年末特惠精装套一 高新金融城南三环 品牌家居家电 地铁口拎包,1990,52平方米,精装修,普通住宅,华润东原时光绘>锦江>东光小区,华润东原时光绘,锦江,东光小区
无中介 驷马桥 瑞安城中汇 建设路 东郊记忆 财富又一城。,1400,40平方米,精装修,公寓,源锋水畔经典>成华>驷马桥,源锋水畔经典,成华,驷马桥
精装套一！金牛立交桥 茶店子客运站 实图实价！无中介 电梯楼,1550,50平方米,精装修,普通住宅,西雅语嫣>金牛>茶店子,西雅语嫣,金牛,茶店子
0中介距离地铁口200米交通方便拎包入住,900,13平方米,精装修,普通住宅,交大路142号院>金牛>营门口,交大路142号院,金牛,营门口
0中介距离地铁口100米交通方便拎包入住,900,13平方米,精装修,普通住宅,长城小区(金牛区)>金牛>营门口,长城小区(金牛区),金牛,营门口
整租7号线二仙桥地铁口理工大学崔家店 建设路,1550,50平方米,精装修,普通住宅,和泓东28>成华>二仙桥,和泓东28,成华,二仙桥
泛悦城市广场 动物园 地铁三号线 昭觉寺南路青龙广场 成华区,1510,45平方米,精装修,公寓,泛悦城市广场>成华>驷马桥,泛悦城市广场,成华,驷马桥
拒绝合租可短租 可月付 0中介 开业钜惠  四号线地铁中坝站,1537,32平方米,精装修,普通住宅,俊发时光俊园>青羊>万家湾,俊发时光俊园,青羊,万家湾
十二月特惠 茶店子地铁口 楼下永辉地铁口 精装公寓 拎包入住,1888,50平方米,精装修,公寓,德商新希望国宾锦麟天玺>金牛>茶店子,德商新希望国宾锦麟天玺,金牛,茶店子
无中介 可短租 四号线万年场 明信鹭湾整租套一可押一付一月付,1800,45平方米,精装修,普通住宅,明信鹭湾B区>成华>双桥子,明信鹭湾B区,成华,双桥子
蓝光东方天地 崔家店 双店路 成华区 万年场 地铁7号线,1500,45平方米,精装修,公寓,蓝光东方天地>成华>二仙桥,蓝光东方天地,成华,二仙桥
复工特价 地铁仅800米 品牌家电 量少抢手 免中介 可短租,1589,55平方米,精装修,公寓,七里小区(二期)>武侯>簇桥,七里小区(二期),武侯,簇桥
地铁理工大学 精装LOFT 招商中央华城 万科天荟 罗兰小镇,1900,45.3平方米,精装修,普通住宅,招商中央华城(商住楼)>成华>杉板桥,招商中央华城(商住楼),成华,杉板桥
地铁口 琉璃厂地铁口旁装修套一 家具家电空调现房随时看房,1400,49平方米,简单装修,普通住宅,上东花园一组团>锦江>琉璃厂,上东花园一组团,锦江,琉璃厂
特惠复工房 真实价格 0中介套一 武青南路吾悦广场,1598,40平方米,精装修,公寓,优博国际>武侯>内双楠,优博国际,武侯,内双楠
0中介  妇女儿童医院进修 可月付 可开专票 拎包入住,1529,28平方米,精装修,公寓,中铁西城东苑>青羊>万家湾,中铁西城东苑,青羊,万家湾
整租特价房！！ 一口价 包物业 快抢！！电梯房 中筑西府兰庭,1598,40平方米,精装修,公寓,中筑西府兰庭>武侯>外双楠,中筑西府兰庭,武侯,外双楠
太升路小关庙列五中学东小C区青羊妇幼保健院江信华信附近温馨,1400,40平方米,精装修,普通住宅,东通顺街33号院>青羊>太升路,东通顺街33号院,青羊,太升路
茶店子 开放式电梯公寓 36精装小面积可办营业执照 价格便宜,1400,36.2平方米,简单装修,公寓,西门先生>金牛>茶店子,西门先生,金牛,茶店子
柳江五期 套一 装修 户型方正 拎包入住 1500元月,1500,54平方米,简单装修,普通住宅,柳江新居五期>锦江>琉璃厂,柳江新居五期,锦江,琉璃厂
精装套一 特价租1500就甩 电梯房 水电气全通 家具齐全,1500,70平方米,精装修,普通住宅,西雅语嫣>金牛>茶店子,西雅语嫣,金牛,茶店子
一口价包物业 价格真实 欧尚千盛 皮革城 西部智谷套一,1599,40平方米,精装修,公寓,世纪百合尚寓>武侯>簇桥,世纪百合尚寓,武侯,簇桥
民用住宅套一 可月付 春熙路 建设路 339 东郊记忆二仙桥,1880,68平方米,精装修,普通住宅,合能耀之城>成华>SM广场,合能耀之城,成华,SM广场
民用水电 标准套一 建设路  东郊记忆 二仙桥 理工大学,1980,68平方米,精装修,普通住宅,东城映象B区>成华>杉板桥,东城映象B区,成华,杉板桥
品牌公寓直接租 长租可押一付一 地铁四号线中坝站 鹏瑞利广场,1999,45平方米,精装修,公寓,俊发时光俊园>青羊>万家湾,俊发时光俊园,青羊,万家湾
0中介F可月付  5号线西北桥 青羊体育中心 拎包入住,1400,40平方米,精装修,公寓,南极星公寓>金牛>营门口,南极星公寓,金牛,营门口
融锦城 1室1厅1卫 1800元月 50平 精装修,1800,50.5平方米,精装修,普通住宅,融锦城>成华>驷马桥,融锦城,成华,驷马桥
（房源真实）紫金乐章，精装标间，近驷马桥地铁，家具家电齐全，,1850,60平方米,精装修,普通住宅,紫金乐章>金牛>高笋塘,紫金乐章,金牛,高笋塘
楼下BRT 一个月起签 直租 中介勿扰,1999,28平方米,精装修,公寓,永荣大厦>锦江>莲桂路,永荣大厦,锦江,莲桂路
整租标间 三泰魔方 盛大国际  精装修 家电齐全 交通便捷,1499,35平方米,精装修,普通住宅,高家庄赞城>金牛>国宾,高家庄赞城,金牛,国宾
春熙路太古里 时代1号 商会大厦 阳光新业东门大桥地铁口套一,1800,51平方米,精装修,普通住宅,较场坝西街小区>锦江>东大街,较场坝西街小区,锦江,东大街
理工大学 电子科技大学 二仙桥 八里庄 春熙路 339 月付,1880,68平方米,精装修,普通住宅,合能耀之城>成华>SM广场,合能耀之城,成华,SM广场
宝诚推出 电梯精装修套一带双空调拎包入住 随时看房,1500,54平方米,精装修,普通住宅,金桥领寓>都江堰>都江堰城区,金桥领寓,都江堰,都江堰城区
实图实价年底特惠 万年场 明信路湾 华润二十四城 民用水电,1980,46平方米,精装修,普通住宅,明信鹭湾>成华>万年场,明信鹭湾,成华,万年场
急租！月付无中介 铁建广场 理工大学 地铁7号线理工大学站,1500,45平方米,精装修,普通住宅,中国铁建广场>成华>二仙桥,中国铁建广场,成华,二仙桥
民用水电气套一 可月付 建设路 东郊记忆 理工大学 二仙桥,1980,68平方米,精装修,普通住宅,东城映象B区>成华>杉板桥,东城映象B区,成华,杉板桥
市中心 宽窄巷子地铁 新城市广场 金色夏威夷 温馨套一拎包住,1988,60平方米,精装修,普通住宅,金色夏威夷>青羊>八宝街,金色夏威夷,青羊,八宝街
琉璃厂精装修 公交直达高新押一付一 无中介,1479,26平方米,精装修,公寓,锦城逸景A区>锦江>锦江周边,锦城逸景A区,锦江,锦江周边
可月付 精装修 拎包入住 地铁7号线府青路站,1550,50平方米,精装修,普通住宅,锦都馨苑>成华>八里小区,锦都馨苑,成华,八里小区
可减免押金可月付可短租崔家店地铁站直达龙湖天街东郊记忆建设路,1410,28平方米,精装修,普通住宅,蓝光东方天地>成华>二仙桥,蓝光东方天地,成华,二仙桥
青羊工业园旁边，英国小镇里面,1400,50平方米,简单装修,普通住宅,海棠苑>青羊>金沙,海棠苑,青羊,金沙
短租套一！0中介 精装loft 东郊记忆 杉板桥 理工大地铁,1900,62平方米,精装修,公寓,招商中央华城(商住楼)>成华>杉板桥,招商中央华城(商住楼),成华,杉板桥
0中介 急租 盛大国际周边  随时看房入住 家电齐全,1499,40平方米,精装修,普通住宅,高家庄赞城>金牛>国宾,高家庄赞城,金牛,国宾
赞城 标间 可月付蜀西路 盛大国际 IP科技中心 三泰魔方,1499,50平方米,精装修,普通住宅,高家庄赞城>金牛>国宾,高家庄赞城,金牛,国宾
企业客户优惠毕业生优惠无中介精装修特推住梦计划免换房手续费,2257,35平方米,精装修,公寓,航空花园>武侯>航空路,航空花园,武侯,航空路
川大精装loft 无中介押一付一月付无压力免费健身,2701,32平方米,精装修,公寓,四川大学南园村小区62栋>武侯>川大,四川大学南园村小区62栋,武侯,川大
上层建筑 一品天下 羊犀立交 茶店子 商圈成熟 交通便利,1699,36平方米,简单装修,公寓,上层建筑>金牛>蜀汉路,上层建筑,金牛,蜀汉路
营门口 0中介 月中特惠房 地铁站旁 短租 可月付 精装公寓,1699,35平方米,精装修,公寓,朝阳朗香广场>金牛>营门口,朝阳朗香广场,金牛,营门口
暖冬优惠无中介免空调费近地铁春熙路豪华商圈,2099,36平方米,精装修,公寓,人民南路四段15号院>武侯>棕北,人民南路四段15号院,武侯,棕北
年底特惠直租！白果林 毛戈平 花牌坊 精装修拎包入住,1677,35平方米,精装修,公寓,翠坪园>金牛>白果林,翠坪园,金牛,白果林
